source,target
"大雪山","Đại Tuyết sơn"
"维塔斯","Vitas"
"冥龙锁天阵","Minh Long Tỏa Thiên Trận"
"纪宁","Kỷ Ninh"
"紫府","Tử Phủ"
"神魔","Thần Ma"
"纪氏","Kỷ thị"
"万象","Vạn Tượng"
"天仙","Thiên Tiên"
"木子朔","Mộc Tử Sóc"
"子朔","Tử Sóc"
"黑白学宫","Hắc Bạch Học Cung"
"紫府修士","Tử Phủ Tu Sĩ"
"九莲","Cửu Liên"
"少炎农","Thiếu Viêm Nông"
"翼蛇","Dực Xà"
"百微","Bách Vi"
"安澶","An Thiền"
"雪龙","Tuyết Long"
"纪九火","Kỷ Cửu Hỏa"
"大夏","Đại Hạ"
"雪龙山","Tuyết Long Sơn"
"万象真人","Vạn Tượng Chân Nhân"
"应龙卫","Ứng Long Vệ"
"先天","Tiên Thiên"
"元神道人","Nguyên Thần Đạo Nhân"
"应龙","Ứng Long"
"元神","Nguyên Thần"
"仙缘大会","Tiên Duyên Đại Hội"
"白水泽","Bạch Thủy Trạch"
"少炎氏","Thiếu Viêm thị"
"黄毛大熊","hoàng mao đại hùng"
"燕山","Yến Sơn"
"小千剑阵","Tiểu Thiên Kiếm Trận"
"邋遢","Lạp Tháp"
"道祖","Đạo Tổ"
"邋遢真人","Lạp Tháp Chân Nhân"
"夏芒","Hạ Mang"
"尉迟雪","Uất Trì Tuyết"
"水火莲花","Thủy Hỏa Liên Hoa"
"空青蛇","Không Thanh Xà"
"翼蛇湖","Dực Xà Hồ"
"殿才","Điện Tài"
"洞子启","Động Tử Khải"
"许离","Hứa Ly"
"许离真人","Hứa Ly Chân Nhân"
"殿才仙人","Điện Tài Tiên Nhân"
"安澶郡","An Thiền quận"
"相柳方","Tương Liễu Phương"
"北冥剑","Bắc Minh kiếm"
"天宝山","Thiên Bảo Sơn"
"赤明九天","Xích Minh Cửu Thiên"
"赤明九天图","Xích Minh Cửu Thiên Đồ"
"铁木占","Thiết Mộc Chiêm"
"巫江","Vu Giang"
"三尺剑","Tam Xích Kiếm"
"摘星手","Trích Tinh Thủ"
"雎华","Sư Hoa"
"雎华仙人","Sư Hoa Tiên Nhân"
"木传真人","Mộc Truyền Chân Nhân"
"木传","Mộc Truyền"
"大夏王都","Đại Hạ vương đô"
"风翼遁法","Phong Dực Độn Pháp"
"风翼","Phong Dực"
"惜月郡主","Tích Nguyệt quận chúa"
"纯阳真仙","Thuần Dương Chân Tiên"
"延王","Duyên Vương"
"夏芒紫山","Hạ Mang Tử Sơn"
"沧江","Thương Giang"
"北山狐","Bắc Sơn Hồ"
"少炎","Thiếu Viêm"
"少炎公子","Thiếu Viêm công tử"
"雪羽道人","Tuyết Vũ Đạo Nhân"
"苍梧鹫","Thương Ngô Thứu"
"玄机老祖","Huyền Cơ Lão Tổ"
"龙鲸大妖","Long Kình Đại Yêu"
"封禁大阵","Phong Cấm Đại Trận"
"纪留真","Kỷ Lưu Chân"
"明月山","Minh Nguyệt Sơn"
"浮云仙人","Phù Vân Tiên Nhân"
"方寸山","Phương Thốn Sơn"
"明月山水图","Minh Nguyệt Sơn Thủy Đồ"
"沧江真人","Thương Giang Chân Nhân"
"纪宁公子","Kỷ Ninh công tử"
"论道殿","Luận Đạo Điện"
"北山氏","Bắc Sơn thị"
"穷奇","Cùng Kỳ"
"安澶侯","An Thiền Hầu"
"黑石真人","Hắc Thạch Chân Nhân"
"火翼妖王","Hỏa Dực Yêu Vương"
"三寿","Tam Thọ"
"道之域境","Đạo Chi Vực Cảnh"
"北山黑虎","Bắc Sơn Hắc Hổ"
"大荒泽","Đại Hoang Trạch"
"狱山大荒泽","Ngục Sơn Đại Hoang Trạch"
"唐天","Đường Thiên"
"兵","Binh"
"顾雪","Cố Tuyết"
"剑齿虎","Kiếm Xỉ Hổ"
"白鹤漩涡","Vòng Xoáy Bạch Hạc"
"鬼爪","Quỷ Trảo"
"大夏世界","Đại Hạ thế giới"
"血云楼","Huyết Vân Lâu"
"无间门","Vô Gian Môn"
"血神教","Huyết Thần Giáo"
"大夏王朝","Đại Hạ vương triều"
"天仙的","Thiên Tiên"
"东林山脉","Đông Lâm sơn mạch"
"秋叶","Thu Diệp"
"伍文定","Ngũ Văn Định"
